,単語,ネガポジ値
558,ぐにゃぐにゃ,-1
559,ぐにゃぐにゃだ,-1
560,ぐにゃぐにゃです,-1
561,ぐらぐら,-1
562,ぐらつく,-1
563,けがらわしい,-1
564,けしからんだ,-1
565,けしからんです,-1
566,けしからんと,-1
567,けしからんの,-1
568,けちけち,-1
569,けちけちするた,-1
570,けちん坊だ,-1
571,けちん坊です,-1
572,けちん坊と,-1
573,けちん坊の,-1
574,けばけば,-1
575,けばけばしい,-1
576,けわしい,-1
577,けんのんだ,-1
578,けんのんです,-1
579,げっそり,-1
580,こしゃくだ,-1
581,こしゃくです,-1
582,こすい,-1
583,こせこせ,-1
584,こっぴどい,-1
585,こっ酷い,-1
586,こてんこてんだ,-1
587,こてんこてんです,-1
588,ごしゃごしゃ,-1
589,ごちゃごちゃ,-1
590,ごっちゃだ,-1
591,ごっちゃです,-1
592,ごてごて,-1
593,ごみごみ,-1
594,ご法度だ,-1
595,ご法度です,-1
596,ご法度と,-1
597,ご法度の,-1
598,さもしい,-1
599,しかたない,-1
600,しかつめらしい,-1
601,しつこい,-1
602,しどろだ,-1
603,しどろです,-1
604,しどろもどろだ,-1
605,しどろもどろです,-1
606,しみったれる,-1
607,しょうがない,-1
608,しょぼい,-1
609,しょぼしょぼ,-1
610,しらじらしい,-1
611,しわくちゃだ,-1
612,しわくちゃです,-1
613,しわくちゃと,-1
614,しわくちゃの,-1
615,しわしわ,-1
616,しんどい,-1
617,しんねり,-1
618,じじむさい,-1
619,じゃじゃ馬だ,-1
620,じゃじゃ馬です,-1
621,じゃじゃ馬と,-1
622,じゃじゃ馬の,-1
623,じゃじゃ馬的だ,-1
624,じゃじゃ馬的です,-1
625,じゃま臭い,-1
626,じれったい,-1
627,すかたんだ,-1
628,すかたんです,-1
629,すかたんと,-1
630,すかたんの,-1
631,すげない,-1
632,すじ違い,-1
633,すたれる,-1
634,ずうずうしい,-1
635,ずるい,-1
636,ずれる,-1
637,ずんべらぼうだ,-1
638,ずんべらぼうです,-1
639,ずんべらぼうと,-1
